MD,Inclination,Azimuth
0,-0.022275126070038592,120.09934283060224
30,0.07266922385588505,120.37218049393118
60,0.07897860728653562,120.92820504079477
90,-0.026143001357663415,121.5001110310704
120,-0.021009340854792863,121.54252397141582
150,-0.01408923044302536,121.93240428264635
180,-0.06722252555171386,122.6800042163922
210,0.95406740267579,122.89666940547419
240,0.9497929616623966,123.0214518612822
270,0.9616101217447935,123.58823628160704
300,0.9982657556306609,123.74272077027113
330,1.011710736626826,124.08835188073122
360,1.0775250246407038,124.56553224147349
390,0.9500822979630604,124.45883519695676
420,2.049216119923829,124.80875793139893
450,1.9893005577887246,125.34065257433848
480,1.9975268145173783,125.5362825031293
510,2.0337409746083304,126.0730927076414
540,1.943863898921885,126.08501046191563
570,2.0191204873092023,126.22486329804794
600,3.008322610410653,127.02489763224749
630,4.024622563200407,126.89423054465483
660,5.014458432195391,127.14316452142907
690,6.122765006995545,127.01716188484149
720,6.968113000787434,127.34743614283278
750,7.973450152249909,127.61406147278667
780,8.968842973678761,127.47826676785309
810,9.972226144041988,127.8809264662824
840,10.968130643634675,127.76347010192391
870,12.059450826555377,127.88336517834206
900,13.071025212399492,127.85961857038656
930,13.971462685312526,128.36872575041664
960,14.958382221344788,127.99388937938446
990,16.02357077781932,127.76337804184017
1020,16.97238884778595,128.09782746604037
1050,18.031646590887775,127.62771884499729
1080,19.010146151042566,127.8325537660265
1110,19.92421279425014,127.29826759902645
1140,21.077375260066503,127.30476349171963
1170,22.089793883654774,127.47104996720479
1200,23.96936056547578,127.42207273060453
1230,24.980614922003202,127.133172605305
1260,26.014293269536246,126.88254527671334
1290,27.01672283949935,126.63496958727013
1320,28.03292721363364,126.17226683248323
1350,29.10051022693832,126.08061673342443
1380,29.991152638625298,125.8735139432218
1410,30.960085137773078,125.90321126757053
1440,31.931034038599275,125.4724291023229
1470,32.963453498002906,124.74950958600348
1500,33.99834365135631,124.85259394671061
1530,35.08972789317589,124.38445328304807
1560,35.974119435048195,123.98862657451052
1590,37.011189397581944,123.89857958808723
1620,37.99917885519636,123.62523894636982
1650,39.0594196636724,123.23954396024189
1680,40.12634662129368,122.51206169660271
1710,40.973456561353984,122.23798162357012
1740,41.97552802787409,121.98024731999259
1770,43.052208043853454,121.71849020431269
1800,45.034094574481315,121.03312521690988
1830,46.092335366286804,120.69458534252672
1860,47.0291964092663,120.11137830466511
1890,47.98203539546065,119.69350069624667
1920,49.02953274153462,119.6955120170582
1950,50.055435179029146,119.4056869294733
1980,51.04102410905987,118.72363242253795
2010,52.025363701555364,118.54549080619121
2040,53.05333373447946,118.02799838879488
2070,54.05846477952228,117.44264394741154
2100,55.06910794955188,117.26601329958473
2130,56.032435494379484,117.13042197500552
2160,56.99164409598416,116.45267124581919
2190,58.00733568432167,116.4186355419172
2220,59.060325448325415,115.2373618519141
2250,59.95915321645064,115.59188995093629
2280,61.018433665443645,115.12254628610589
2310,61.98033305938363,114.73519743338548
2340,63.00143724114674,114.5162228818353
2370,64.06392259313037,113.81698122438772
2400,66.009554953401,113.90164565996908
2430,67.00232182740781,113.76322047889279
2460,67.932007192951,113.74936192043302
2490,69.03731267830136,113.1284763477417
2500,69.03227420905705,113.00028042151064
2505,69.10816273616527,113.02726318874157
2510,68.98461108825235,113.27680772259251
2515,70.0109575163832,113.12606982207308
2520,70.01246918418553,112.92144177993788
2525,70.07887266398818,113.09760573382444
2530,69.99523522338065,112.98241264241618
2535,70.01395107628852,113.12525969392465
2540,70.03039482548583,112.76014450339731
2545,71.00933045615781,112.80454013336028
2550,70.97767831927247,112.7616635035449
2555,71.00970449964491,112.51789192946913
2560,71.05368158749299,112.84082802078517
2565,70.94867423502944,112.80532534068642
2570,71.00664848370734,112.72615055149713
2575,71.96499395925304,112.65072920394236
2580,72.05975233144625,112.38759835759429
2585,71.92384065476081,112.56007829496875
2590,71.97205390763642,112.54971012571117
2595,72.01886059375323,112.43235586301778
2600,73.07827620146172,112.5356268475007
2605,72.99671248694635,112.6242829503492
2610,72.97224002366534,112.8968165597745
2615,73.09405785347202,112.53112101329289
2620,72.92759930497918,112.5248626938933
2625,72.890059702169,112.43613327843907
2630,74.02200072250267,112.04546229589357
2635,73.97489728878237,112.40263358703356
2640,73.94893835914347,112.39922945087207
2645,74.03541782236496,112.8596075429008
2650,74.01219003568856,112.30879270818318
2655,73.97179606846316,112.38841158720375
2660,74.93598478006645,112.30252974999662
2665,75.04362286641401,112.057640542961
2670,75.03251005889793,112.50238007793789
2675,74.99504120681102,112.40717802360649
2680,75.09233184980238,112.39851142821843
2685,74.94649576168369,112.04248003417875
2690,75.92372374145376,112.48950884569983
2695,75.96540459650593,111.91371327133805
2700,75.99772069918222,112.29713047743928
2705,76.01216697246613,112.60406882776876
2710,75.98793819710718,111.95463310768606
2715,77.01760276982571,112.02678844232868
2720,76.93742302879048,112.14783170364588
2725,77.07218823020366,112.01560641253238
2730,76.99589244108037,111.79511644576088
2735,77.05586479157941,112.10845755896914
2740,77.01713626731889,111.87232902616377
2745,78.02283766095769,112.1701027241333
2750,78.02848836401161,111.88264417761108
2755,78.02238542800086,112.36821162420908
2760,78.03213613799338,111.89382131246504
2765,78.06645762650662,111.9788589427807
2770,78.00982605848507,112.19932651199564
2775,79.03545018787942,111.78435503682138
2780,78.99551321528564,112.0704781509752
2785,79.07200586077248,112.28142679605737
2790,78.96618038489704,111.69406784301671
2795,79.09004702164555,112.04861197784294
2800,79.99799210246778,112.06033722206627
2805,79.9284612448941,112.16195566639443
2810,80.00640522074553,111.75598654275824
2815,79.96594741712626,111.7376262730618
2820,80.04203217744944,112.10500225261057
2825,79.96736880103488,112.05946272764848
2830,80.97769082833926,112.05017176435727
2835,80.90552296345273,112.06992578473137
2840,80.97738468403755,111.86574965522439
2845,80.87880603366855,112.04987922617445
2850,80.92080485882572,112.06427218285671
2855,81.03802073280721,111.86557176549422
2860,82.03929000793254,112.3849362783215
2865,82.02127287808925,112.11044202146212
2870,81.95165119284354,111.78186326280125
2875,81.9976144321929,112.15643736378182
2880,81.99981987304547,111.83574679526781
2885,81.94208176554038,112.19420995889999
2890,83.07516991508835,112.27517506007443
2895,83.04386811452878,111.88653492130815
2900,82.98895179130852,112.25111408504763
2905,83.00134429194972,112.14931401291628
2910,83.01041914039737,112.24003974426519
2915,83.89791325657879,112.46440649398089
2920,83.98764113087397,112.04594010570403
2925,83.9659007876001,111.95478928141297
